











SORCERY_START,,LOCALIZATION,,START,,,,,
resourceEssenceLightning3Desc,items,Item,New,"Lightning [407fff]Essence III[-] is essential to crafting and performing [407fff]Adept[-] [5c009d]Lightning Sorceries[-] by transmuting into pure [5c009d]Lightning III[-] at a [5c009d]Lightning Conjure[-].\n\n[U]Pine Trees, Boulders and Lead Ore[/U]\nare excellent sources of Lightning [407fff]Essence III[-]",,,,,
resourceEssenceLightning4Desc,items,Item,New,"Lightning [ba3fd0]Essence IV[-] is essential to crafting and performing [ba3fd0]Expert[-] [5c009d]Lightning Sorceries[-] by transmuting into pure [5c009d]Lightning IV[-] at a [5c009d]Lightning Conjure[-].\n\n[U]Pine Trees, Boulders and Lead Ore[/U]\nare excellent sources of Lightning [ba3fd0]Essence IV[-]",,,,,
resourceEssenceLightning5Desc,items,Item,New,"Lightning [e60000]Essence V[-] is essential to crafting and performing [e60000]Master[-] [5c009d]Lightning Sorceries[-] by transmuting into pure [5c009d]Lightning V[-] at a [5c009d]Lightning Conjure[-].\n\n[U]Pine Trees, Boulders and Lead Ore[/U]\nare excellent sources of Lightning [e60000]Essence V[-]",,,,,

resourceExtractOmni,items,Item,New,"Omni [2f9970]Extract[-]",,,,,
resourceExtractOmni2,items,Item,New,"Omni [36dc2a]Extract II[-]",,,,,
resourceExtractOmni3,items,Item,New,"Omni [407fff]Extract III[-]",,,,,
resourceExtractOmni4,items,Item,New,"Omni [ba3fd0]Extract IV[-]",,,,,
resourceExtractOmni5,items,Item,New,"Omni [e60000]Extract V[-]",,,,,
resourceExtractOmniDesc,items,Item,New,"Omni [2f9970]Extract[-] is the product of transmuting [2f9970]Essence[-] at a [ae92d5]Conjure[-]. In its refined form, Omni [2f9970]Extract[-] is an important ingredient required by many Sorcerer Crafting Recipes.",,,,,
resourceExtractOmni2Desc,items,Item,New,"Omni [36dc2a]Extract II[-] is the product of transmuting [36dc2a]Essence II[-] at a [ae92d5]Conjure[-]. In its refined form, Omni [36dc2a]Extract II[-] is an important ingredient required by many Sorcerer Crafting Recipes.",,,,,
resourceExtractOmni3Desc,items,Item,New,"Omni [407fff]Extract III[-] is the product of transmuting [407fff]Essence III[-] at a [ae92d5]Conjure[-]. In its refined form, Omni [407fff]Extract III[-] is an important ingredient required by many Sorcerer Crafting Recipes.",,,,,
resourceExtractOmni4Desc,items,Item,New,"Omni [ba3fd0]Extract IV[-] is the product of transmuting [ba3fd0]Essence IV[-] at a [ae92d5]Conjure[-]. In its refined form, Omni [ba3fd0]Extract IV[-] is an important ingredient required by many Sorcerer Crafting Recipes.",,,,,
resourceExtractOmni5Desc,items,Item,New,"Omni [e60000]Extract V[-] is the product of transmuting [e60000]Essence V[-] at a [ae92d5]Conjure[-]. In its refined form, Omni [e60000]Extract V[-] is an important ingredient required by many Sorcerer Crafting Recipes.",,,,,

resourceExtractFire,items,Item,New,"Fire [2f9970]Extract[-]",,,,,
resourceExtractFire2,items,Item,New,"Fire [36dc2a]Extract II[-]",,,,,
resourceExtractFire3,items,Item,New,"Fire [407fff]Extract III[-]",,,,,
resourceExtractFire4,items,Item,New,"Fire [ba3fd0]Extract IV[-]",,,,,
resourceExtractFire5,items,Item,New,"Fire [e60000]Extract V[-]",,,,,
resourceExtractFireDesc,items,Item,New,"Fire [2f9970]Extract[-] is the product of transmuting Fire [2f9970]Essence[-] at a [970000]Fire Conjure[-]. In its refined form, Fire [2f9970]Extract[-] is an important ingredient required by many Fire Sorcerer Crafting Recipes.",,,,,
resourceExtractFire2Desc,items,Item,New,"Fire [36dc2a]Extract II[-] is the product of transmuting Fire [36dc2a]Essence II[-] at a [970000]Fire Conjure[-]. In its refined form, Fire [36dc2a]Extract II[-] is an important ingredient required by many Fire Sorcerer Crafting Recipes.",,,,,
resourceExtractFire3Desc,items,Item,New,"Fire [407fff]Extract III[-] is the product of transmuting Fire [407fff]Essence III[-] at a [970000]Fire Conjure[-]. In its refined form, Fire [407fff]Extract III[-] is an important ingredient required by many Fire Sorcerer Crafting Recipes.",,,,,
resourceExtractFire4Desc,items,Item,New,"Fire [ba3fd0]Extract IV[-] is the product of transmuting Fire [ba3fd0]Essence IV[-] at a [970000]Fire Conjure[-]. In its refined form, Fire [ba3fd0]Extract IV[-] is an important ingredient required by many Fire Sorcerer Crafting Recipes.",,,,,
resourceExtractFire5Desc,items,Item,New,"Fire [e60000]Extract V[-] is the product of transmuting Fire [e60000]Essence V[-] at a [970000]Fire Conjure[-]. In its refined form, Fire [e60000]Extract V[-] is an important ingredient required by many Fire Sorcerer Crafting Recipes.",,,,,

resourceExtractIce,items,Item,New,"Ice [2f9970]Extract[-]",,,,,
resourceExtractIce2,items,Item,New,"Ice [36dc2a]Extract II[-]",,,,,
resourceExtractIce3,items,Item,New,"Ice [407fff]Extract III[-]",,,,,
resourceExtractIce4,items,Item,New,"Ice [ba3fd0]Extract IV[-]",,,,,
resourceExtractIce5,items,Item,New,"Ice [e60000]Extract V[-]",,,,,
resourceExtractIceDesc,items,Item,New,"Ice [2f9970]Extract[-] is the product of transmuting Ice [2f9970]Essence[-] at an [02599c]Ice Conjure[-]. In its refined form, Ice [2f9970]Extract[-] is an important ingredient required by many Ice Sorcerer Crafting Recipes.",,,,,
resourceExtractIce2Desc,items,Item,New,"Ice [36dc2a]Extract II[-] is the product of transmuting Ice [36dc2a]Essence II[-] at an [02599c]Ice Conjure[-]. In its refined form, Ice [36dc2a]Extract II[-] is an important ingredient required by many Ice Sorcerer Crafting Recipes.",,,,,
resourceExtractIce3Desc,items,Item,New,"Ice [407fff]Extract III[-] is the product of transmuting Ice [407fff]Essence III[-] at an [02599c]Ice Conjure[-]. In its refined form, Ice [407fff]Extract III[-] is an important ingredient required by many Ice Sorcerer Crafting Recipes.",,,,,
resourceExtractIce4Desc,items,Item,New,"Ice [ba3fd0]Extract IV[-] is the product of transmuting Ice [ba3fd0]Essence IV[-] at an [02599c]Ice Conjure[-]. In its refined form, Ice [ba3fd0]Extract IV[-] is an important ingredient required by many Ice Sorcerer Crafting Recipes.",,,,,
resourceExtractIce5Desc,items,Item,New,"Ice [e60000]Extract V[-] is the product of transmuting Ice [e60000]Essence V[-] at an [02599c]Ice Conjure[-]. In its refined form, Ice [e60000]Extract V[-] is an important ingredient required by many Ice Sorcerer Crafting Recipes.",,,,,

resourceExtractLightning,items,Item,New,"Lightning [2f9970]Extract[-]",,,,,
resourceExtractLightning2,items,Item,New,"Lightning [36dc2a]Extract II[-]",,,,,
resourceExtractLightning3,items,Item,New,"Lightning [407fff]Extract III[-]",,,,,
resourceExtractLightning4,items,Item,New,"Lightning [ba3fd0]Extract IV[-]",,,,,
resourceExtractLightning5,items,Item,New,"Lightning [e60000]Extract V[-]",,,,,
resourceExtractLightningDesc,items,Item,New,"Lightning [2f9970]Extract[-] is the product of transmuting Lightning [2f9970]Essence[-] at a [5c009d]Lightning Conjure[-]. In its refined form, Lightning [2f9970]Extract[-] is an important ingredient required by many Lightning Sorcerer Crafting Recipes.",,,,,
resourceExtractLightning2Desc,items,Item,New,"Lightning [36dc2a]Extract II[-] is the product of transmuting Lightning [36dc2a]Essence II[-] at a [5c009d]Lightning Conjure[-]. In its refined form, Lightning [36dc2a]Extract II[-] is an important ingredient required by many Lightning Sorcerer Crafting Recipes.",,,,,
resourceExtractLightning3Desc,items,Item,New,"Lightning [407fff]Extract III[-] is the product of transmuting Lightning [407fff]Essence III[-] at a [5c009d]Lightning Conjure[-]. In its refined form, Lightning [407fff]Extract III[-] is an important ingredient required by many Lightning Sorcerer Crafting Recipes.",,,,,
resourceExtractLightning4Desc,items,Item,New,"Lightning [ba3fd0]Extract IV[-] is the product of transmuting Lightning [ba3fd0]Essence IV[-] at a [5c009d]Lightning Conjure[-]. In its refined form, Lightning [ba3fd0]Extract IV[-] is an important ingredient required by many Lightning Sorcerer Crafting Recipes.",,,,,
resourceExtractLightning5Desc,items,Item,New,"Lightning [e60000]Extract V[-] is the product of transmuting Lightning [e60000]Essence V[-] at a [5c009d]Lightning Conjure[-]. In its refined form, Lightning [e60000]Extract V[-] is an important ingredient required by many Lightning Sorcerer Crafting Recipes.",,,,,

resourcePowderArcane,items,Item,New,"Arcane [2f9970]Powder[-]",,,,,
resourcePowderArcane2,items,Item,New,"Arcane [36dc2a]Powder II[-]",,,,,
resourcePowderArcane3,items,Item,New,"Arcane [407fff]Powder III[-]",,,,,
resourcePowderArcane4,items,Item,New,"Arcane [ba3fd0]Powder IV[-]",,,,,
resourcePowderArcane5,items,Item,New,"Arcane [e60000]Powder V[-]",,,,,
resourcePowderArcaneDesc,items,Item,New,"Arcane [2f9970]Powder[-] is an ingredient used by Alchemists to concoct [2f9970]Novice[-] Potions, Bombs and Elixirs. This powder is typically created by grounding [2f9970]Essence[-] using an [ae92d5]Enchanted Mortar[-] or [ae92d5]Alchemy Station[-].",,,,,
resourcePowderArcane2Desc,items,Item,New,"Arcane [36dc2a]Powder II[-] is an ingredient used by Alchemists to concoct [36dc2a]Intermediate[-] Potions, Bombs and Elixirs. This powder is typically created by grounding [36dc2a]Essence II[-] using an [ae92d5]Enchanted Mortar[-] or [ae92d5]Alchemy Station[-].",,,,,
resourcePowderArcane3Desc,items,Item,New,"Arcane [407fff]Powder III[-] is an ingredient used by Alchemists to concoct [407fff]Adept[-] Potions, Bombs and Elixirs. This powder is typically created by grounding [407fff]Essence III[-] using an [ae92d5]Enchanted Mortar[-] or [ae92d5]Alchemy Station[-].",,,,,
resourcePowderArcane4Desc,items,Item,New,"Arcane [ba3fd0]Powder IV[-] is an ingredient used by Alchemists to concoct [ba3fd0]Expert[-] Potions, Bombs and Elixirs. This powder is typically created by grounding [ba3fd0]Essence IV[-] using an [ae92d5]Enchanted Mortar[-] or [ae92d5]Alchemy Station[-].",,,,,
resourcePowderArcane5Desc,items,Item,New,"Arcane [e60000]Powder V[-] is an ingredient used by Alchemists to concoct [e60000]Master[-] Potions, Bombs and Elixirs. This powder is typically created by grounding [e60000]Essence V[-] using an [ae92d5]Enchanted Mortar[-] or [ae92d5]Alchemy Station[-].",,,,,

resourcePowderFire,items,Item,New,"Fire [2f9970]Powder[-]",,,,,
resourcePowderFire2,items,Item,New,"Fire [36dc2a]Powder II[-]",,,,,
resourcePowderFire3,items,Item,New,"Fire [407fff]Powder III[-]",,,,,
resourcePowderFire4,items,Item,New,"Fire [ba3fd0]Powder IV[-]",,,,,
resourcePowderFire5,items,Item,New,"Fire [e60000]Powder V[-]",,,,,
resourcePowderFireDesc,items,Item,New,"Fire [2f9970]Powder[-] is an ingredient used by Alchemists to concoct [2f9970]Novice[-] Fire Potions, Bombs and Elixirs. This powder is typically created by grounding Fire [2f9970]Essence[-] using an [ae92d5]Enchanted Mortar[-] or [ae92d5]Alchemy Station[-].",,,,,
resourcePowderFire2Desc,items,Item,New,"Fire [36dc2a]Powder II[-] is an ingredient used by Alchemists to concoct [36dc2a]Intermediate[-] Fire Potions, Bombs and Elixirs. This powder is typically created by grounding Fire [36dc2a]Essence II[-] using an [ae92d5]Enchanted Mortar[-] or [ae92d5]Alchemy Station[-].",,,,,
resourcePowderFire3Desc,items,Item,New,"Fire [407fff]Powder III[-] is an ingredient used by Alchemists to concoct [407fff]Adept[-] Fire Potions, Bombs and Elixirs. This powder is typically created by grounding Fire [407fff]Essence III[-] using an [ae92d5]Enchanted Mortar[-] or [ae92d5]Alchemy Station[-].",,,,,
resourcePowderFire4Desc,items,Item,New,"Fire [ba3fd0]Powder IV[-] is an ingredient used by Alchemists to concoct [ba3fd0]Expert[-] Fire Potions, Bombs and Elixirs. This powder is typically created by grounding Fire [ba3fd0]Essence IV[-] using an [ae92d5]Enchanted Mortar[-] or [ae92d5]Alchemy Station[-].",,,,,
resourcePowderFire5Desc,items,Item,New,"Fire [e60000]Powder V[-] is an ingredient used by Alchemists to concoct [e60000]Master[-] Fire Potions, Bombs and Elixirs. This powder is typically created by grounding Fire [e60000]Essence V[-] using an [ae92d5]Enchanted Mortar[-] or [ae92d5]Alchemy Station[-].",,,,,

resourcePowderIce,items,Item,New,"Ice [2f9970]Powder[-]",,,,,
resourcePowderIce2,items,Item,New,"Ice [36dc2a]Powder II[-]",,,,,
resourcePowderIce3,items,Item,New,"Ice [407fff]Powder III[-]",,,,,
resourcePowderIce4,items,Item,New,"Ice [ba3fd0]Powder IV[-]",,,,,
resourcePowderIce5,items,Item,New,"Ice [e60000]Powder V[-]",,,,,
resourcePowderIceDesc,items,Item,New,"Ice [2f9970]Powder[-] is an ingredient used by Alchemists to concoct [2f9970]Novice[-] Ice Potions, Bombs and Elixirs. This powder is typically created by grounding Ice [2f9970]Essence[-] using an [ae92d5]Enchanted Mortar[-] or [ae92d5]Alchemy Station[-].",,,,,
resourcePowderIce2Desc,items,Item,New,"Ice [36dc2a]Powder II[-] is an ingredient used by Alchemists to concoct [36dc2a]Intermediate[-] Ice Potions, Bombs and Elixirs. This powder is typically created by grounding Ice [36dc2a]Essence II[-] using an [ae92d5]Enchanted Mortar[-] or [ae92d5]Alchemy Station[-].",,,,,
resourcePowderIce3Desc,items,Item,New,"Ice [407fff]Powder III[-] is an ingredient used by Alchemists to concoct [407fff]Adept[-] Ice Potions, Bombs and Elixirs. This powder is typically created by grounding Ice [407fff]Essence III[-] using an [ae92d5]Enchanted Mortar[-] or [ae92d5]Alchemy Station[-].",,,,,
resourcePowderIce4Desc,items,Item,New,"Ice [ba3fd0]Powder IV[-] is an ingredient used by Alchemists to concoct [ba3fd0]Expert[-] Ice Potions, Bombs and Elixirs. This powder is typically created by grounding Ice [ba3fd0]Essence IV[-] using an [ae92d5]Enchanted Mortar[-] or [ae92d5]Alchemy Station[-].",,,,,
resourcePowderIce5Desc,items,Item,New,"Ice [e60000]Powder V[-] is an ingredient used by Alchemists to concoct [e60000]Master[-] Ice Potions, Bombs and Elixirs. This powder is typically created by grounding Ice [e60000]Essence V[-] using an [ae92d5]Enchanted Mortar[-] or [ae92d5]Alchemy Station[-].",,,,,

resourcePowderLightning,items,Item,New,"Lightning [2f9970]Powder[-]",,,,,
resourcePowderLightning2,items,Item,New,"Lightning [36dc2a]Powder II[-]",,,,,
resourcePowderLightning3,items,Item,New,"Lightning [407fff]Powder III[-]",,,,,
resourcePowderLightning4,items,Item,New,"Lightning [ba3fd0]Powder IV[-]",,,,,
resourcePowderLightning5,items,Item,New,"Lightning [e60000]Powder V[-]",,,,,
resourcePowderLightningDesc,items,Item,New,"Lightning [2f9970]Powder[-] is an ingredient used by Alchemists to concoct [2f9970]Novice[-] Lightning Potions, Bombs and Elixirs. This powder is typically created by grounding Lightning [2f9970]Essence[-] using an [ae92d5]Enchanted Mortar[-] or [ae92d5]Alchemy Station[-].",,,,,
resourcePowderLightning2Desc,items,Item,New,"Lightning [36dc2a]Powder II[-] is an ingredient used by Alchemists to concoct [36dc2a]Intermediate[-] Lightning Potions, Bombs and Elixirs. This powder is typically created by grounding Lightning [36dc2a]Essence II[-] using an [ae92d5]Enchanted Mortar[-] or [ae92d5]Alchemy Station[-].",,,,,
resourcePowderLightning3Desc,items,Item,New,"Lightning [407fff]Powder III[-] is an ingredient used by Alchemists to concoct [407fff]Adept[-] Lightning Potions, Bombs and Elixirs. This powder is typically created by grounding Lightning [407fff]Essence III[-] using an [ae92d5]Enchanted Mortar[-] or [ae92d5]Alchemy Station[-].",,,,,
resourcePowderLightning4Desc,items,Item,New,"Lightning [ba3fd0]Powder IV[-] is an ingredient used by Alchemists to concoct [ba3fd0]Expert[-] Lightning Potions, Bombs and Elixirs. This powder is typically created by grounding Lightning [ba3fd0]Essence IV[-] using an [ae92d5]Enchanted Mortar[-] or [ae92d5]Alchemy Station[-].",,,,,
resourcePowderLightning5Desc,items,Item,New,"Lightning [e60000]Powder V[-] is an ingredient used by Alchemists to concoct [e60000]Master[-] Lightning Potions, Bombs and Elixirs. This powder is typically created by grounding Lightning [e60000]Essence V[-] using an [ae92d5]Enchanted Mortar[-] or [ae92d5]Alchemy Station[-].",,,,,

resourceThreadArcane,items,Item,New,"Arcane [2f9970]Thread[-]",,,,,
resourceThreadArcane2,items,Item,New,"Arcane [36dc2a]Thread II[-]",,,,,
resourceThreadArcane3,items,Item,New,"Arcane [407fff]Thread III[-]",,,,,
resourceThreadArcane4,items,Item,New,"Arcane [ba3fd0]Thread IV[-]",,,,,
resourceThreadArcane5,items,Item,New,"Arcane [e60000]Thread V[-]",,,,,
resourceThreadArcaneDesc,items,Item,New,"Arcane [2f9970]Thread[-] is used to craft [ae92d5]Sorcerer Armor[-] and Clothing at an [ae92d5]Arcane Wheel[-]. This thread is typically spun with Omni [2f9970]Extract[-] obtained from a [ae92d5]Conjure[-].",,,,,
resourceThreadArcane2Desc,items,Item,New,"Arcane [36dc2a]Thread[-] is used to craft [ae92d5]Sorcerer Armor[-] and Clothing at an [ae92d5]Arcane Wheel[-]. This thread is typically spun with Omni [36dc2a]Extract II[-] obtained from a [ae92d5]Conjure[-].",,,,,
resourceThreadArcane3Desc,items,Item,New,"Arcane [407fff]Thread[-] is used to craft [ae92d5]Sorcerer Armor[-] and Clothing at an [ae92d5]Arcane Wheel[-]. This thread is typically spun with Omni [407fff]Extract III[-] obtained from a [ae92d5]Conjure[-].",,,,,
resourceThreadArcane4Desc,items,Item,New,"Arcane [ba3fd0]Thread[-] is used to craft [ae92d5]Sorcerer Armor[-] and Clothing at an [ae92d5]Arcane Wheel[-]. This thread is typically spun with Omni [ba3fd0]Extract IV[-] obtained from a [ae92d5]Conjure[-].",,,,,
resourceThreadArcane5Desc,items,Item,New,"Arcane [e60000]Thread[-] is used to craft [ae92d5]Sorcerer Armor[-] and Clothing at an [ae92d5]Arcane Wheel[-]. This thread is typically spun with Omni [e60000]Extract V[-] obtained from a [ae92d5]Conjure[-].",,,,,

resourceThreadFire,items,Item,New,"Fire [2f9970]Thread[-]",,,,,
resourceThreadFire2,items,Item,New,"Fire [36dc2a]Thread II[-]",,,,,
resourceThreadFire3,items,Item,New,"Fire [407fff]Thread III[-]",,,,,
resourceThreadFire4,items,Item,New,"Fire [ba3fd0]Thread IV[-]",,,,,
resourceThreadFire5,items,Item,New,"Fire [e60000]Thread V[-]",,,,,
resourceThreadFireDesc,items,Item,New,"Fire [2f9970]Thread[-] is used to craft [970000]Fire Sorcerer Armor[-] and Clothing at an [ae92d5]Arcane Wheel[-]. This thread is typically spun with Fire [2f9970]Extract[-] obtained from a [970000]Fire Conjure[-].",,,,,
resourceThreadFire2Desc,items,Item,New,"Fire [36dc2a]Thread[-] is used to craft [970000]Fire Sorcerer Armor[-] and Clothing at an [ae92d5]Arcane Wheel[-]. This thread is typically spun with Fire [36dc2a]Extract II[-] obtained from a [970000]Fire Conjure[-].",,,,,
resourceThreadFire3Desc,items,Item,New,"Fire [407fff]Thread[-] is used to craft [970000]Fire Sorcerer Armor[-] and Clothing at an [ae92d5]Arcane Wheel[-]. This thread is typically spun with Fire [407fff]Extract III[-] obtained from a [970000]Fire Conjure[-].",,,,,
resourceThreadFire4Desc,items,Item,New,"Fire [ba3fd0]Thread[-] is used to craft [970000]Fire Sorcerer Armor[-] and Clothing at an [ae92d5]Arcane Wheel[-]. This thread is typically spun with Fire [ba3fd0]Extract IV[-] obtained from a [970000]Fire Conjure[-].",,,,,
